Naam;Waarde;Eenheid;Bron;Beschrijving
Ki_afleverset;2000;Eur_asl;Validatiesessies 2024. Kosten voor afleverset, installatie en demontage oude installatie.;Investeringskosten afleverset (warmtewisselaar + meter)
Ki_inpand_laag;2700;Eur_asl;Validatiesessies 2024. Correctie o.b.v. Atriensis model;Investeringskosten extra inpandige buizen
Ki_inpand_hoog_metblok;1444;Eur_asl;Validatiesessies 2024. Correctie o.b.v. Atriensis model;Investeringskosten extra inpandige buizen
Ki_inpand_hoog_geenblok;3000;Eur_asl;Validatiesessies 2024. Correctie o.b.v. Atriensis model;Investeringskosten extra inpandige buizen
Ki_id_ugroot;0;Eur_m2;-;Investeringskosten extra inpandige buizen bij utiliteit groter dan 7500 m2
Ki_id_uklein;23.75745544;Eur_m2;-;Investeringskosten extra inpandige buizen bij utiliteit kleiner dan 100 m2
Ki_uitkoppel;0;Eur_kW;-;Extra uitkoppelkosten op gebouwniveau, kosten bij de bron afgeleid van bronnenbestand
Ki_Buffer;1828.136196;Eur;-;Voorlopige investeringskosten per gebouw voor aanleg buffervat voor seizoensopslag en dagopslag
Ki_Buffer_min;121875.7464;Eur;-;Minimale investering voor warmtebuffer bij de bron
Ki_WOS_min;250;Eur_kW;Validatiesessies 2024;minimale Investeringskosten warmteoverdrachtstation
Ki_WOS_max;300;Eur_kW;Validatiesessies 2024;maximale Investeringskosten warmteoverdrachtstation
Ki_eWP_coll_min;1000;Eur_kW;Validatiesessies 2024;minimale Investeringskosten warmtepomp collectief als hulpvoorziening
Ki_eWP_coll_max;1500;Eur_kW;Validatiesessies 2024;maximale Investeringskosten warmtepomp collectief als hulpvoorziening
Ki_WKO_vast_min;800000;Eur;Validatiesessies 2024;minimale investeringskosten bron zonder distributiekosten
Ki_WKO_vast_max;1200000;Eur;Validatiesessies 2024;maximale investeringskosten bron zonder distributiekosten
Ki_WKO_var_min;210;Eur_kW;Validatiesessies 2024;minimale investeringskosten bron zonder distributiekosten
Ki_WKO_var_max;210;Eur_kW;Validatiesessies 2024;maximale investeringskosten bron zonder distributiekosten
Ki_TEO_vast_min;670000;Eur;Validatiesessies 2024;minimale investeringskosten bron oppervlaktewater warmtewisselaa
Ki_TEO_vast_max;1560000;Eur;Validatiesessies 2024;maximale investeringskosten bron oppervlaktewater warmtewisselaar
Ki_TEO_var_min;125;Eur_kW;Validatiesessies 2024;minimale investeringskosten bron oppervlaktewater warmtewisselaa
Ki_TEO_var_max;145;Eur_kW;Validatiesessies 2024;maximale investeringskosten bron oppervlaktewater warmtewisselaar
R_Regeneratie;1.1;ratio;-;extra investeringskosten voor regeneratiemechanisme bij WKO zonder TEO
Ki_dist_OS;6508.67;Eur_pand;Validatiesessies 2024;kosten pand-straat aansluiting en onderstation
Ki_booster_min;2400;Eur;Validatiesessies 2024;minimale Investeringskosten booster-warmtepomp voor warm tapwater, inclusief buffervat en verzwaarde elektriciteitsaansluiting en installatie en montagekosten
Ki_booster_max;3600;Eur;Validatiesessies 2024;maximale Investeringskosten booster-warmtepomp voor warm tapwater, inclusief buffervat en verzwaarde elektriciteitsaansluiting en installatie en montagekosten
Ki_eWP_B;8000;Eur;Validatiesessies 2024;Investeringskosten elektrische warmtepomp bij woningen schillabel B, inclusief buffervat en verzwaarde elektriciteitsaansluiting en installatie en montagekosten
Ki_eWP_CDE;12000;Eur;Validatiesessies 2024;Investeringskosten elektrische warmtepomp bij woningen schillabel C, D of E, inclusief buffervat en verzwaarde elektriciteitsaansluiting en installatie en montagekosten
K_os_p_min;53;Eur_kW;Validatiesessies 2024;minimale Investeringskosten onderstations in wijkdistributie
K_os_p_max;143;Eur_kW;Validatiesessies 2024;maximale Investeringskosten onderstations in wijkdistributie
