'BU_CODE';'V01_Strategievariant'
'BU00349997';''
'BU00509997';''
'BU00609998';''
'BU00729998';''
'BU00889998';''
'BU00939998';''
'BU00969998';''
'BU01669997';''
'BU01719997';''
'BU01849997';''
'BU02309997';''
'BU02339997';''
'BU02439997';''
'BU02679997';''
'BU02699997';''
'BU02739997';''
'BU03029997';''
'BU03039997';''
'BU03139997';''
'BU03179997';''
'BU03639997';''
'BU03639998';''
'BU03739998';''
'BU03759998';''
'BU03769997';''
'BU03779998';''
'BU03839998';''
'BU03849997';''
'BU03859997';''
'BU03889997';''
'BU03969998';''
'BU04009998';''
'BU04059997';''
'BU04069997';''
'BU04209997';''
'BU04419998';''
'BU04489998';''
'BU04539998';''
'BU04739998';''
'BU04989997';''
'BU05059997';''
'BU05189998';''
'BU05329997';''
'BU05379998';''
'BU05759998';''
'BU05999998';''
'BU06299998';''
'BU06549998';''
'BU06649997';''
'BU06649998';''
'BU06779998';''
'BU06789998';''
'BU06879997';''
'BU07039998';''
'BU07159998';''
'BU07169997';''
'BU07169998';''
'BU07179997';''
'BU07179998';''
'BU07189998';''
'BU08519997';''
'BU08529997';''
'BU09959997';''
'BU15989997';''
'BU16769997';''
'BU16769998';''
'BU16959997';''
'BU16959998';''
'BU17089997';''
'BU17099997';''
'BU17149998';''
'BU17839998';''
'BU18959998';''
'BU18969997';''
'BU19009997';''
'BU19009998';''
'BU19119997';''
'BU19119998';''
'BU19249997';''
'BU19249998';''
'BU19309997';''
'BU19409997';''
'BU19429997';''
'BU19499998';''
'BU19639997';''
'BU19669997';''
'BU19669998';''
'BU19699997';''
'BU19709997';''
'BU19709998';''
'BU19799998';''
'BU19929997';''
'BU19929998';''
'BU00140000';'s1a'
'BU00140001';'s1a'
'BU00140002';'s1a'
'BU00140003';'s1a'
'BU00140004';'s1a'
'BU00140005';'s1a'
'BU00140007';'s1a'
'BU00140008';'s1a'
'BU00140100';'s1a'
'BU00140101';'s1a'
'BU00140102';'s1a'
'BU00140103';'s1a'
'BU00140104';'s1a'
'BU00140105';'s1a'
'BU00140106';'s1a'
'BU00140107';'s1a'
'BU00140108';'s1a'
'BU00140109';'s1a'
'BU00140110';'s1a'
'BU00140200';'s1a'
'BU00140201';'s1a'
'BU00140202';'s1a'
'BU00140203';'s1a'
'BU00140300';'s1a'
'BU00140301';'s1a'
'BU00140302';'s1a'
'BU00140400';'s1a'
'BU00140401';'s1a'
'BU00140402';'s1a'
'BU00140403';'s1a'
'BU00140404';'s1a'
'BU00140500';'s1a'
'BU00140501';'s1a'
'BU00140502';'s1a'
'BU00140503';'s1a'
'BU00140504';'s1a'
'BU00140505';'s1a'
'BU00140506';'s1a'
'BU00140507';'s1a'
'BU00140508';'s1a'
'BU00140509';'s1a'
'BU00140510';'s1a'
'BU00140511';'s1a'
'BU00140600';'s1a'
'BU00140601';'s1a'
'BU00140602';'s1a'
'BU00140603';'s1a'
'BU00140604';'s1a'
'BU00140605';'s1a'
'BU00140606';'s1a'
'BU00140700';'s1a'
'BU00140701';'s1a'
'BU00140702';'s1a'
'BU00140703';'s1a'
'BU00140704';'s1a'
'BU00140705';'s1a'
'BU00140800';'s1a'
'BU00140801';'s1a'
'BU00140802';'s1a'
'BU00140803';'s1a'
'BU00140804';'s1a'
'BU00140805';'s1a'
'BU00140806';'s1a'
'BU00140809';'s1a'
'BU00140810';'s1a'
'BU00140811';'s1a'
'BU00140812';'s1a'
'BU00140900';'s1a'
'BU00140901';'s1a'
'BU00140902';'s1a'
'BU00140903';'s1a'
'BU00140904';'s1a'
'BU00140905';'s1a'
'BU00140906';'s1a'
'BU00140907';'s1a'
'BU00140908';'s1a'
'BU00140909';''
'BU00141000';'s1a'
'BU00141001';'s1a'
'BU00141002';'s1a'
'BU00141003';'s1a'
'BU00141004';'s1a'
'BU00141005';'s1a'
'BU00141100';'s1a'
'BU00141101';'s1a'
'BU00141102';'s1a'
'BU00141103';'s1a'
'BU00141104';'s1a'
'BU00141105';'s1a'
'BU00141106';'s1a'
'BU00141107';'s1a'
'BU00141200';'s1a'
'BU00141201';'s1a'
'BU00141202';'s1a'
'BU00141203';'s1a'
'BU00141204';'s1a'
'BU00141205';'s1a'
'BU00141206';'s1a'
'BU00141207';'s1a'
'BU00141208';'s1a'
'BU00141209';'s1a'
'BU00141210';'s1a'
'BU00141211';'s1a'
'BU00141300';'s1a'
'BU00141301';'s1a'
'BU00141302';'s1a'
'BU00141400';'s1a'
'BU00141401';'s1a'
'BU00141402';'s1a'
'BU00141403';'s1a'
'BU00141404';'s1a'
'BU00141405';'s1a'
'BU00141406';'s1a'
'BU00141500';'s1a'
'BU00141501';'s1a'
'BU00141502';'s1a'
'BU00141503';'s1a'
'BU00141504';'s1a'
'BU00141505';'s1a'
'BU00141506';'s1a'
'BU00141600';'s1a'
'BU00141601';'s1a'
'BU00141602';'s1a'
'BU00141603';'s1a'
'BU00141604';'s1a'
'BU00141605';'s1a'
'BU00141700';'s1a'
'BU00141701';'s1a'
'BU00141702';'s1a'
'BU00141703';'s1a'
'BU00141704';'s1a'
'BU00141705';'s1a'
'BU00141706';'s1a'
'BU00141707';'s1a'
'BU00141708';'s1a'
'BU00141709';'s1a'
'BU00141710';''
'BU00141800';'s1a'
'BU00141801';'s1a'
'BU00141802';'s1a'
'BU00141803';'s1a'
'BU00141900';'s1a'
'BU00141901';'s1a'
'BU00141902';'s1a'
'BU00141903';'s1a'
'BU00141904';'s1a'
'BU00141905';'s1a'
'BU00141906';'s1a'
'BU00141907';'s1a'
'BU00141908';'s1a'
'BU00141909';''
'BU00340101';'s1a'
'BU00340102';'s1a'
'BU00340201';'s1a'
'BU00340202';'s1a'
'BU00340203';''
'BU00340204';''
'BU00340205';''
'BU00340301';'s1a'
'BU00340302';'s1a'
'BU00340303';'s1a'
'BU00340304';'s1a'
'BU00340401';'s1a'
'BU00340402';''
'BU00340403';'s1a'
'BU00340501';'s1a'
'BU00340502';'s1a'
'BU00340503';'s1a'
'BU00340504';''
'BU00340601';'s1a'
'BU00340602';'s1a'
'BU00340603';'s1a'
'BU00340604';'s1a'
'BU00340605';''
'BU00340606';''
'BU00340701';'s1a'
'BU00340702';'s1a'
'BU00340703';'s1a'
'BU00340704';'s1a'
'BU00340801';'s1a'
'BU00340802';'s1a'
'BU00340803';'s1a'
'BU00340901';'s1a'
'BU00340902';'s1a'
'BU00341001';'s1a'
'BU00341002';'s1a'
'BU00341003';'s1a'
'BU00341101';'s1a'
'BU00341102';'s1a'
'BU00341401';'s1a'
'BU00341501';'s1a'
'BU00341601';''
'BU00341602';'s1a'
'BU00341701';''
'BU00341702';'s1a'
'BU00341703';'s1a'
'BU00341704';'s1a'
'BU00341705';'s1a'
'BU00341801';'s1a'
'BU00341802';'s1a'
'BU00341803';''
'BU00341804';'s1a'
'BU00341805';''
'BU00341806';''
'BU00341807';''
'BU00341808';'s1a'
'BU00341901';''
'BU00341902';'s1a'
'BU00341903';''
'BU00341904';''
'BU00342001';''
'BU00342002';''
'BU00342003';''
'BU00342004';'s1a'
'BU00342005';''
'BU00342101';''
'BU00342102';'s1a'
