;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
0;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19
1;0.31;0.22;0.23;0.22;0.22;0.19;0.17;0.22;0.14;0.22;0.22;0.18;0.2;0.17;0.17;0.23;0.2;0.28;0.31;0.22;0.21;0.26;0.15;0.16;0.19;0.21;0.2;0.2;0.23;0.2;0.22;0.21;0.18;0.17;0.17;0.22;0.19;0.27;0.21;0.28;0.17;0.21;0.16;0.2;0.24;0.19;0.2;0.22;0.29;0.18
2;0.29;0.22;0.25;0.21;0.25;0.23;0.15;0.31;0.12;0.26;0.24;0.27;0.2;0.19;0.2;0.29;0.21;0.4;0.27;0.2;0.22;0.24;0.12;0.22;0.24;0.15;0.25;0.26;0.2;0.26;0.18;0.2;0.18;0.2;0.19;0.23;0.18;0.37;0.24;0.27;0.16;0.27;0.19;0.18;0.23;0.24;0.15;0.2;0.34;0.15
3;0.4;0.19;0.2;0.17;0.27;0.23;0.14;0.33;0.11;0.28;0.28;0.3;0.17;0.23;0.21;0.35;0.26;0.39;0.32;0.19;0.26;0.19;0.14;0.23;0.19;0.17;0.24;0.39;0.21;0.4;0.21;0.18;0.2;0.21;0.23;0.19;0.18;0.35;0.26;0.29;0.18;0.32;0.19;0.21;0.23;0.23;0.16;0.22;0.3;0.23
4;0.35;0.15;0.26;0.2;0.3;0.21;0.12;0.34;0.11;0.3;0.3;0.38;0.15;0.17;0.21;0.27;0.17;0.53;0.35;0.18;0.25;0.27;0.18;0.28;0.21;0.15;0.25;0.35;0.32;0.35;0.18;0.14;0.24;0.17;0.26;0.2;0.18;0.56;0.25;0.32;0.15;0.29;0.23;0.19;0.23;0.27;0.17;0.21;0.31;0.17
5;0.35;0.19;0.36;0.23;0.32;0.23;0.11;0.41;0.14;0.28;0.24;0.43;0.19;0.17;0.23;0.31;0.21;0.61;0.31;0.21;0.25;0.28;0.22;0.21;0.25;0.13;0.23;0.45;0.4;0.32;0.16;0.12;0.22;0.23;0.28;0.18;0.18;0.47;0.26;0.38;0.12;0.35;0.31;0.24;0.22;0.34;0.15;0.18;0.47;0.14
6;0.32;0.19;0.38;0.3;0.38;0.3;0.13;0.45;0.11;0.3;0.22;0.4;0.19;0.25;0.28;0.38;0.18;0.63;0.31;0.23;0.3;0.29;0.23;0.25;0.28;0.15;0.15;0.39;0.41;0.28;0.13;0.08;0.26;0.23;0.25;0.25;0.17;0.56;0.28;0.44;0.09;0.36;0.3;0.28;0.37;0.45;0.2;0.15;0.51;0.14
7;0.26;0.21;0.48;0.33;0.47;0.39;0.12;0.66;0.1;0.3;0.23;0.38;0.16;0.31;0.4;0.43;0.2;0.62;0.35;0.27;0.31;0.27;0.16;0.26;0.37;0.16;0.12;0.36;0.33;0.21;0.18;0.08;0.29;0.16;0.29;0.3;0.22;0.49;0.23;0.57;0.1;0.35;0.36;0.39;0.41;0.52;0.24;0.18;0.52;0.15
8;0.2;0.17;0.77;0.31;0.36;0.52;0.17;0.55;0.11;0.31;0.23;0.35;0.14;0.3;0.46;0.44;0.21;0.66;0.36;0.25;0.28;0.27;0.16;0.21;0.34;0.2;0.11;0.38;0.27;0.27;0.24;0.09;0.31;0.18;0.3;0.27;0.27;0.45;0.26;0.74;0.09;0.36;0.37;0.28;0.39;0.55;0.2;0.22;0.72;0.2
9;0.29;0.17;0.99;0.35;0.31;0.46;0.17;0.42;0.11;0.32;0.39;0.38;0.19;0.34;0.43;0.39;0.2;0.65;0.45;0.33;0.27;0.27;0.15;0.21;0.37;0.19;0.12;0.36;0.35;0.29;0.23;0.12;0.24;0.19;0.4;0.35;0.32;0.47;0.33;0.88;0.11;0.31;0.47;0.25;0.33;0.57;0.21;0.28;0.73;0.22
