type_str;bouwjaar_str;Default_label;Vrv_N_asl;Vrv_G_asl;Vrv_F_asl;Vrv_E_asl;Vrv_D_asl;Vrv_C_asl;Vrv_B_asl;Vrv_A_asl;Vrv_N_opp;Vrv_G_opp;Vrv_F_opp;Vrv_E_opp;Vrv_D_opp;Vrv_C_opp;Vrv_B_opp;Vrv_A_opp;Vvent_asl;Vvent_opp;Vww_asl;Vww_opp;Ve_asl;Ve_opp;Vk_asl;Vk_opp;Ki_SGD_min_asl;Ki_SGD_min_opp;Ki_SGD_max_asl;Ki_SGD_max_opp;Ki_SFD_min_asl;Ki_SFD_min_opp;Ki_SFD_max_asl;Ki_SFD_max_opp;Ki_SED_min_asl;Ki_SED_min_opp;Ki_SED_max_asl;Ki_SED_max_opp;Ki_SGA_min_asl;Ki_SGA_min_opp;Ki_SGA_max_asl;Ki_SGA_max_opp;Ki_SFA_min_asl;Ki_SFA_min_opp;Ki_SFA_max_asl;Ki_SFA_max_opp;Ki_SEA_min_asl;Ki_SEA_min_opp;Ki_SEA_max_asl;Ki_SEA_max_opp;Ki_SDA_min_asl;Ki_SDA_min_opp;Ki_SDA_max_asl;Ki_SDA_max_opp;Ki_SCA_min_asl;Ki_SCA_min_opp;Ki_SCA_max_asl;Ki_SCA_max_opp;Ki_SBA_min_asl;Ki_SBA_min_opp;Ki_SBA_max_asl;Ki_SBA_max_opp
Kantoor;0<=1920;G;0;38.74906542;24.41841869;16.0571986;12.1006528;10.98609953;11.15026542;11.0301729;0;0.306768364;0.292528822;0.274668757;0.2560485;0.239534299;0.227992402;0.224286098;0;0;0;0.003776774;0;0.454;0;0.086802003;68188;109.528;102282;164.292;61855.2;101.952;92782.8;152.928;55523.2;94.376;83284.8;141.564;107484;156.688;161226;235.032;88196.8;146.704;132295.2;220.056;80589.6;137.416;120884.4;206.124;78312;129.552;117468;194.328;75012.8;123.888;112519.2;185.832;64343.2;121.144;96514.8;181.716
Kantoor;1920<=1975;E;0;38.74906542;24.41841869;16.0571986;12.1006528;10.98609953;11.15026542;11.0301729;0;0.306768364;0.292528822;0.274668757;0.2560485;0.239534299;0.227992402;0.224286098;0;0;0;0.003776774;0;0.454;0;0.086802003;68188;109.528;102282;164.292;61855.2;101.952;92782.8;152.928;55523.2;94.376;83284.8;141.564;107484;156.688;161226;235.032;88196.8;146.704;132295.2;220.056;80589.6;137.416;120884.4;206.124;78312;129.552;117468;194.328;75012.8;123.888;112519.2;185.832;64343.2;121.144;96514.8;181.716
Kantoor;1975<=1990;C;0;38.74906542;24.41841869;16.0571986;12.1006528;10.98609953;11.15026542;11.0301729;0;0.306768364;0.292528822;0.274668757;0.2560485;0.239534299;0.227992402;0.224286098;0;0;0;0.003776774;0;0.454;0;0.086802003;68188;109.528;102282;164.292;61855.2;101.952;92782.8;152.928;55523.2;94.376;83284.8;141.564;107484;156.688;161226;235.032;88196.8;146.704;132295.2;220.056;80589.6;137.416;120884.4;206.124;78312;129.552;117468;194.328;75012.8;123.888;112519.2;185.832;64343.2;121.144;96514.8;181.716
Kantoor;1990<=1995;B;0;38.74906542;24.41841869;16.0571986;12.1006528;10.98609953;11.15026542;11.0301729;0;0.306768364;0.292528822;0.274668757;0.2560485;0.239534299;0.227992402;0.224286098;0;0;0;0.003776774;0;0.454;0;0.086802003;68188;109.528;102282;164.292;61855.2;101.952;92782.8;152.928;55523.2;94.376;83284.8;141.564;107484;156.688;161226;235.032;88196.8;146.704;132295.2;220.056;80589.6;137.416;120884.4;206.124;78312;129.552;117468;194.328;75012.8;123.888;112519.2;185.832;64343.2;121.144;96514.8;181.716
Kantoor;1995<=2019;B;0;38.74906542;24.41841869;16.0571986;12.1006528;10.98609953;11.15026542;11.0301729;0;0.306768364;0.292528822;0.274668757;0.2560485;0.239534299;0.227992402;0.224286098;0;0;0;0.003776774;0;0.454;0;0.086802003;68188;109.528;102282;164.292;61855.2;101.952;92782.8;152.928;55523.2;94.376;83284.8;141.564;107484;156.688;161226;235.032;88196.8;146.704;132295.2;220.056;80589.6;137.416;120884.4;206.124;78312;129.552;117468;194.328;75012.8;123.888;112519.2;185.832;64343.2;121.144;96514.8;181.716
Kantoor;onbekend;D;0;38.74906542;24.41841869;16.0571986;12.1006528;10.98609953;11.15026542;11.0301729;0;0.306768364;0.292528822;0.274668757;0.2560485;0.239534299;0.227992402;0.224286098;0;0;0;0.003776774;0;0.454;0;0.086802003;68188;109.528;102282;164.292;61855.2;101.952;92782.8;152.928;55523.2;94.376;83284.8;141.564;107484;156.688;161226;235.032;88196.8;146.704;132295.2;220.056;80589.6;137.416;120884.4;206.124;78312;129.552;117468;194.328;75012.8;123.888;112519.2;185.832;64343.2;121.144;96514.8;181.716
Winkel;0<=1920;G;0;21.31257757;15.3975771;13.05340654;13.44119299;15.72235935;19.0583285;22.60993178;0;0.383438271;0.34868243;0.315080187;0.281472028;0.246781262;0.209898659;0.169697243;0;0;0;0.003776774;0;0.567;0;0.035278814;36712.8;123.808;55069.2;185.712;41303.2;104.128;61954.8;156.192;45894.4;84.448;68841.6;126.672;56525.6;178.48;84788.4;267.72;69400;133.4;104100;200.1;46343.2;127.472;69514.8;191.208;64796.8;115.328;97195.2;172.992;70826.4;115.648;106239.6;173.472;55304;122.568;82956;183.852
Winkel;1920<=1975;E;0;21.31257757;15.3975771;13.05340654;13.44119299;15.72235935;19.0583285;22.60993178;0;0.383438271;0.34868243;0.315080187;0.281472028;0.246781262;0.209898659;0.169697243;0;0;0;0.003776774;0;0.567;0;0.035278814;36712.8;123.808;55069.2;185.712;41303.2;104.128;61954.8;156.192;45894.4;84.448;68841.6;126.672;56525.6;178.48;84788.4;267.72;69400;133.4;104100;200.1;46343.2;127.472;69514.8;191.208;64796.8;115.328;97195.2;172.992;70826.4;115.648;106239.6;173.472;55304;122.568;82956;183.852
Winkel;1975<=1990;C;0;21.31257757;15.3975771;13.05340654;13.44119299;15.72235935;19.0583285;22.60993178;0;0.383438271;0.34868243;0.315080187;0.281472028;0.246781262;0.209898659;0.169697243;0;0;0;0.003776774;0;0.567;0;0.035278814;36712.8;123.808;55069.2;185.712;41303.2;104.128;61954.8;156.192;45894.4;84.448;68841.6;126.672;56525.6;178.48;84788.4;267.72;69400;133.4;104100;200.1;46343.2;127.472;69514.8;191.208;64796.8;115.328;97195.2;172.992;70826.4;115.648;106239.6;173.472;55304;122.568;82956;183.852
Winkel;1990<=1995;B;0;21.31257757;15.3975771;13.05340654;13.44119299;15.72235935;19.0583285;22.60993178;0;0.383438271;0.34868243;0.315080187;0.281472028;0.246781262;0.209898659;0.169697243;0;0;0;0.003776774;0;0.567;0;0.035278814;36712.8;123.808;55069.2;185.712;41303.2;104.128;61954.8;156.192;45894.4;84.448;68841.6;126.672;56525.6;178.48;84788.4;267.72;69400;133.4;104100;200.1;46343.2;127.472;69514.8;191.208;64796.8;115.328;97195.2;172.992;70826.4;115.648;106239.6;173.472;55304;122.568;82956;183.852
